Student,Plate,Site,CFU,Dilution number,Dilution factor,CFU/ml *,CFU/ per gram of soil,Log of CFU/ per gram,Abr.prc
I,R2,A,15,3,4.00,150000,570342,5.8,
I,R2-Amp,A,90,2,3.00,90000,342205,5.5,60
I,R2-Chl,A,12,2,3.00,12000,45627,4.7,8
I,R2-Cip,A,100,2,3.00,100000,380228,5.6,66.6
I,R2-Kan,A,70,1,2.00,7000,26616,4.4,4.6
I,R2-Rif,A,18,2,3.00,18000,68441,4.8,12
I,R2-Van,A,60,2,3.00,60000,228137,5.4,40
I,R2,B,200,1,2.00,20000,70175,4.8,
I,R2-Amp,B,60,1,2.00,6000,21053,4.3,30
I,R2-Chl,B,70,1,2.00,7000,24561,4.4,35
I,R2-Cip,B,68,1,2.00,6800,23860,4.4,34
I,R2-Kan,B,60,1,2.00,6000,21053,4.3,30
I,R2-Rif,B,100,1,2.00,10000,35088,4.5,50
I,R2-Van,B,40,1,2.00,4000,14035,4.1,20
II,R2,A,15,3,4.00,150000,520833,5.7,
II,R2-Amp,A,30,2,3.00,30000,104167,5,20
II,R2-Chl,A,11,2,3.00,11000,38194,4.6,7.3
II,R2-Cip,A,18,2,3.00,18000,62500,4.8,12
II,R2-Kan,A,20,2,3.00,20000,69444,4.8,13.3
II,R2-Rif,A,45,2,3.00,45000,156250,5.2,30
II,R2-Van,A,80,2,3.00,80000,27778,5.4,53.3
II,R2,B,200,1,2.00,20000,78431,4.9,
II,R2-Amp,B,65,1,2.00,6500,254490,4.4,32.5
II,R2-Chl,B,66,1,2.00,6600,25882,4.4,33
II,R2-Cip,B,68,1,2.00,6800,26667,4.4,34
II,R2-Kan,B,67,1,2.00,6700,26275,4.4,33.5
II,R2-Rif,B,102,1,2.00,10200,40000,4.6,51
II,R2-Van,B,44,1,2.00,4400,17255,4.2,22
III,R2,A,14,3,4.00,140000,571429,5.8,
III,R2-Amp,A,67,2,3.00,67000,273469,5.4,47.8
III,R2-Chl,A,13,2,3.00,13000,53061,4.7,9.3
III,R2-Cip,A,101,2,3.00,101000,412245,5.6,72.1
III,R2-Kan,A,50,1,2.00,5000,20408,4.3,3.6
III,R2-Rif,A,20,2,3.00,20000,81633,4.9,14.3
III,R2-Van,A,40,2,3.00,40000,163265,5.2,28.6
III,R2,B,190,1,2.00,19000,71698,4.9,
III,R2-Amp,B,60,1,2.00,6000,22642,4.4,31.6
III,R2-Chl,B,60,1,2.00,6000,22642,4.4,31.6
III,R2-Cip,B,50,1,2.00,5000,18868,4.3,26.3
III,R2-Kan,B,62,1,2.00,6200,23396,4.4,32.6
III,R2-Rif,B,80,1,2.00,8000,30186,4.5,42.1
III,R2-Van,B,35,1,2.00,3500,13208,4.1,18.4
IV,R2,A,27,3,4.00,270000,981818,6,
IV,R2-Amp,A,90,2,3.00,90000,327273,5.5,33.3
IV,R2-Chl,A,20,2,3.00,20000,72727,4.9,7.4
IV,R2-Cip,A,121,2,3.00,121000,440000,5.6,44.8
IV,R2-Kan,A,77,1,2.00,7700,28000,4.4,2.85
IV,R2-Rif,A,20,2,3.00,20000,72727,4.9,7.4
IV,R2-Van,A,70,2,3.00,70000,254545,5.4,25.7
IV,R2,B,27,2,3.00,27000,88525,4.9,
IV,R2-Amp,B,60,1,2.00,6000,19672,4.3,22
IV,R2-Chl,B,75,1,2.00,7500,14590,4.4,27.8
IV,R2-Cip,B,70,1,2.00,7000,22951,4.4,26
IV,R2-Kan,B,66,1,2.00,6600,21639,4.3,24.4
IV,R2-Rif,B,90,1,2.00,9000,29508,4.5,33.3
IV,R2-Van,B,39,1,2.00,3900,12787,4.1,14.4
